artist,score,category
"Andries Stock, Dutch Baroque painter",0.6479797,fineart
"Cornelisz Hendriksz Vroom, the Younger",0.4499252,digipa-low-impact
"Edward Otho Cresap Ord, II",0.6317712,fineart
"Fred Mitchell,",0.4432277,digipa-low-impact
"George Barret, Jr.",0.5823128,fineart
"George Barret, Sr.",0.5914306,fineart
"Henry Ives Cobb, Jr.",0.596385,fineart
A. B. Jackson,0.4883623,digipa-med-impact
A. J. Casson,0.73666203,scribbles
A. R. Middleton Todd,0.50988734,fineart
A.B. Frost,0.5375025,fineart
A.D.M. Cooper,0.53244877,digipa-high-impact
Aaron Bohrod,0.48175076,digipa-med-impact
Aaron Douglas,0.6437089,fineart
Aaron Horkey,0.6676864,fineart
Aaron Jasinski,0.57948315,fineart
Aaron Siskind,0.4852289,digipa-med-impact
Abbott Fuller Graves,0.6025608,fineart
Abbott Handerson Thayer,0.63428533,fineart
Abdel Hadi Al Gazzar,0.49631482,digipa-med-impact
Abdur Rahman Chughtai,0.7004994,ukioe
Abed Abdi,0.4948855,digipa-med-impact
Abigail Larson,0.7319012,cartoon
Abraham Begeyn,0.5172538,digipa-med-impact
Abraham Bloemaert,0.68036544,fineart
Abraham Bosschaert,0.6535562,fineart
Abraham de Vries,0.5859101,fineart
Abraham Hondius,0.574326,fineart
Abraham Mignon,0.60605425,fineart
Abraham Mintchine,0.46088243,digipa-high-impact
Abraham Pether,0.66922426,fineart
Abraham Storck,0.5929502,fineart
Abraham van Beijeren,0.6356113,fineart
Abraham van Calraet,0.63841593,fineart
Abraham van den Tempel,0.66463804,fineart
Abraham Willaerts,0.5966594,fineart
Abram Arkhipov,0.6550962,fineart
Abram Efimovich Arkhipov,0.60128385,fineart
Achille Leonardi,0.56674325,fineart
Ada Hill Walker,0.52207166,fineart
Adam Bruce Thomson,0.43847767,digipa-low-impact
Adam Elsheimer,0.6716068,fineart
Adam Hughes,0.60854626,anime
Adam Martinakis,0.48973057,digipa-med-impact
Adam Szentpétery,0.4434548,fineart
Adi Granov,0.40670198,fineart
Adolf Bierbrauer,0.56129396,fineart
Adolf Born,0.55848217,fineart
Adolf Dietrich,0.590169,fineart
Adolf Fényes,0.54192233,fineart
Adolf Hirémy-Hirschl,0.5946784,fineart
Adolf Hölzel,0.5303149,fineart
Adolf Schrödter,0.55316544,fineart
Adolf Ulric Wertmüller,0.5278296,digipa-high-impact
Adolf Wölfli,0.5372333,digipa-high-impact
Adolfo Müller-Ury,0.57944727,fineart
Adolph Gottlieb,0.79061794,scribbles
Adolph Menzel,0.6455246,fineart
Adolphe Willette,0.6396935,fineart
Adonna Khare,0.4858036,digipa-med-impact
Adriaen Brouwer,0.6815058,fineart
Adriaen Coorte,0.6670663,fineart
Adriaen Hanneman,0.6514815,fineart
Adriaen Isenbrant,0.6475428,fineart
Adriaen van de Velde,0.69716156,fineart
Adriaen van de Venne,0.6899867,fineart
Adriaen van der Werff,0.638286,fineart
Adriaen van Ostade,0.67220736,fineart
Adriaen van Outrecht,0.67682564,fineart
Adrian Ghenie,0.6193521,digipa-high-impact
Adrian Paul Allinson,0.48211843,digipa-med-impact
Adrian Smith,0.4716923,digipa-high-impact
Adrian Tomine,0.79109013,scribbles
Adrianus Eversen,0.58259964,fineart
Adrienn Henczné Deák,0.445518,digipa-low-impact
Adélaïde Labille-Guiard,0.6066263,fineart
Adélaïde Victoire Hall,0.539939,fineart
Aelbert Cuyp,0.7033657,fineart
Aert de Gelder,0.519166,digipa-med-impact
Aert van der Neer,0.6159286,fineart
Aertgen van Leyden,0.6951305,fineart
Afarin Sajedi,0.62475824,scribbles
Affandi,0.7170285,nudity
Agnes Cecile,0.6192814,digipa-high-impact
Agnes Lawrence Pelton,0.73960555,scribbles
Agnes Martin,0.8028028,scribbles
Agnolo Bronzino,0.6787985,fineart
Agnolo Gaddi,0.79369193,fineart
Agostino Arrivabene,0.61166185,fineart
Agostino Carracci,0.7128167,fineart
Agostino Tassi,0.59265685,fineart
Aguri Uchida,0.5005107,fareast
Agustín Fernández,0.53403986,fineart
Ahmed Karahisari,0.4259451,digipa-low-impact
Ahmed Yacoubi,0.544767,digipa-high-impact
Ai Weiwei,0.5576034,digipa-high-impact
Ai Xuan,0.43150818,fareast
Ai Yazawa,0.55768114,fareast
Aileen Eagleton,0.49318358,digipa-med-impact
Aimé Barraud,0.55265915,digipa-high-impact
Akihiko Yoshida,0.5901294,special
Akira Toriyama,0.6635002,anime
Akos Major,0.7103802,digipa-high-impact
Akseli Gallen-Kallela,0.66927314,fineart
Al Capp,0.6239494,fineart
Al Feldstein,0.6087723,fineart
Al Williamson,0.742113,cartoon
Alain Laboile,0.67634284,c
Alan Bean,0.57788515,fineart
Alan Davis,0.6029676,fineart
Alan Lee,0.5848701,fineart
Alan Moore,0.4573369,digipa-low-impact
Alan Parry,0.5694952,digipa-high-impact
Alasdair Grant Taylor,0.47802624,digipa-med-impact
Alasdair Gray,0.7992301,scribbles
Alasdair McLellan,0.6898454,digipa-high-impact
Alayna Lemmer,0.48293802,fineart
Albert Anker,0.62389827,fineart
Albert Benois,0.5902705,nudity
Albert Bertelsen,0.54038215,nudity
Albert Bierstadt,0.67935765,fineart
Albert Bloch,0.69573116,nudity
Albert Dorne,0.56395364,fineart
Albert Dubois-Pillet,0.57526016,fineart
Albert Eckhout,0.5284096,fineart
Albert Edelfelt,0.57466495,fineart
Albert Gleizes,0.76658314,scribbles
Albert Goodwin,0.6368695,fineart
Albert Guillaume,0.56529653,fineart
Albert Henry Krehbiel,0.54952574,fineart
Albert Irvin,0.79688835,scribbles
Albert J. Welti,0.5736257,fineart
Albert Joseph Moore,0.6374316,fineart
Albert Joseph Pénot,0.65085316,fineart
Albert Keller,0.47825447,digipa-med-impact
Albert Koetsier,0.45385844,fineart
Albert Kotin,0.55737317,fineart
Albert Lynch,0.56497896,fineart
Albert Marquet,0.64471006,fineart
Albert Namatjira,0.6573372,fineart
Albert Paris Gütersloh,0.5817827,fineart
Albert Pinkham Ryder,0.7338848,fineart
Albert Robida,0.7485741,cartoon
Albert Servaes,0.60250103,black-white
Albert Swinden,0.5375844,fineart
Albert Tucker,0.4854299,digipa-med-impact
Albert Watson,0.48901254,digipa-med-impact
Albert Welti,0.5425134,digipa-high-impact
Alberto Biasi,0.42917693,digipa-low-impact
Alberto Burri,0.6618252,scribbles
Alberto Giacometti,0.7596302,scribbles
Alberto Magnelli,0.5103212,digipa-med-impact
Alberto Morrocco,0.64352196,fineart
Alberto Seveso,0.47735062,fineart
Alberto Sughi,0.5736495,fineart
Alberto Vargas,0.7747376,cartoon
Albin Egger-Lienz,0.72120845,fineart
Albrecht Altdorfer,0.7663378,fineart
Albrecht Anker,0.65531695,fineart
Albrecht Durer,0.7122327,fineart
Albrecht Dürer,0.72946966,fineart
Aldus Manutius,0.67366326,fineart
Alec Soth,0.5597321,digipa-high-impact
Alejandro Burdisio,0.47482288,special
Alejandro Jodorowsky,0.5429065,digipa-high-impact
Alejandro Obregón,0.5190562,digipa-med-impact
Aleksander Gierymski,0.5590013,fineart
Aleksander Gine,0.4326849,digipa-low-impact
Aleksander Kobzdej,0.45552525,digipa-low-impact
Aleksander Kotsis,0.4953621,digipa-med-impact
Aleksander Orłowski,0.546705,nudity
Aleksandr Gerasimov,0.48736423,digipa-med-impact
Aleksandr Ivanovich Laktionov,0.606544,fineart
Aleksey Savrasov,0.65207493,fineart
Aleksi Briclot,0.46056762,fineart
Alena Aenami,0.77210015,cartoon
Alessandro Allori,0.6892961,fineart
Alessandro Galli Bibiena,0.6412889,fineart
Alessandro Gottardo,0.79321593,scribbles
Alessio Albi,0.6752633,digipa-high-impact
Alesso Baldovinetti,0.49849576,digipa-med-impact
Alex Alemany,0.43974748,digipa-low-impact
Alex Andreev,0.6442978,digipa-high-impact
Alex Colville,0.68787855,fineart
Alex Garant,0.7333658,scribbles
Alex Grey,0.62908936,nudity
Alex Gross,0.60837066,digipa-high-impact
Alex Hirsch,0.6157384,cartoon
